Date,TSE:H,Difference,Return
1/7/2022 16:00:00,31.99,,
1/14/2022 16:00:00,31.67,-0.32,-0.01
1/21/2022 16:00:00,31.87,0.2,0.0063
1/28/2022 16:00:00,32.48,0.61,0.0191
2/4/2022 16:00:00,32.68,0.2,0.0062
2/11/2022 16:00:00,32.29,-0.39,-0.0119
2/18/2022 16:00:00,31.27,-1.02,-0.0316
2/25/2022 16:00:00,31.24,-0.03,-0.001
3/4/2022 16:00:00,32.63,1.39,0.0445
3/11/2022 16:00:00,32.79,0.16,0.0049
3/18/2022 16:00:00,32.54,-0.25,-0.0076
3/25/2022 16:00:00,32.68,0.14,0.0043
4/1/2022 16:00:00,34.2,1.52,0.0465
4/8/2022 16:00:00,35.43,1.23,0.036
4/14/2022 16:00:00,34.71,-0.72,-0.0203
4/22/2022 16:00:00,35.68,0.97,0.0279
4/29/2022 16:00:00,34.73,-0.95,-0.0266
5/6/2022 16:00:00,34.9,0.17,0.0049
5/13/2022 16:00:00,35.49,0.59,0.0169
5/20/2022 16:00:00,35.46,-0.03,-0.0008
5/27/2022 16:00:00,35.32,-0.14,-0.0039
6/3/2022 16:00:00,35.4,0.08,0.0023
6/10/2022 16:00:00,34.51,-0.89,-0.0251
6/17/2022 16:00:00,32.64,-1.87,-0.0542
6/24/2022 16:00:00,33.87,1.23,0.0377
6/30/2022 16:00:00,34.61,0.74,0.0218
7/8/2022 16:00:00,34.05,-0.56,-0.0162
7/15/2022 16:00:00,35.07,1.02,0.03
7/22/2022 16:00:00,34.86,-0.21,-0.006
7/29/2022 16:00:00,35.75,0.89,0.0255
8/5/2022 16:00:00,35.62,-0.13,-0.0036
8/12/2022 16:00:00,35.29,-0.33,-0.0093
8/19/2022 16:00:00,36.05,0.76,0.0215
8/26/2022 16:00:00,35.36,-0.69,-0.0191
9/2/2022 16:00:00,35.4,0.04,0.0011
9/9/2022 16:00:00,35.48,0.08,0.0023
9/16/2022 16:00:00,34.66,-0.82,-0.0231
9/23/2022 16:00:00,34.78,0.12,0.0035
9/30/2022 16:00:00,33.78,-1,-0.0288
10/7/2022 16:00:00,32.51,-1.27,-0.0376
10/14/2022 16:00:00,31.01,-1.5,-0.0461
10/21/2022 16:00:00,31.95,0.94,0.0303
10/28/2022 16:00:00,34.04,2.09,0.0654
11/4/2022 16:00:00,33.86,-0.18,-0.0053
11/11/2022 16:00:00,33.96,0.1,0.003
11/18/2022 16:00:00,35.51,1.55,0.0456
11/25/2022 16:00:00,36.83,1.32,0.0372
12/2/2022 16:00:00,37.81,0.98,0.0266
12/9/2022 16:00:00,37.28,-0.53,-0.014
12/16/2022 16:00:00,37.02,-0.26,-0.007
12/23/2022 16:00:00,36.65,-0.37,-0.01
12/30/2022 16:00:00,36.27,-0.38,-0.0104
