havn	geom_wkt
Tiksi	POINT(128.872523555144 71.6443193634454)
Ust-Kara	POINT(64.9155175661919 69.2491104220271)
Nuuk-Godthaab	POINT(-51.720420892676 64.1708873011146)
Sisimiut	POINT(-53.6753882255269 66.9414846843146)
Akureyri	POINT(-18.0827123507534 65.6897756827621)
Hafnarfjordur	POINT(-21.9693467267903 64.0668747457764)
Heimaey	POINT(-20.2736068868777 63.4451043703398)
Deception Bay	POINT(-74.6931482211494 62.1453750690339)
Isafjordur	POINT(-23.1263910882118 66.0675802107936)
Reykjavik	POINT(-21.8792537680646 64.1507324736965)
Stykkisholmur	POINT(-22.7384413626919 65.0756266956536)
Barentsburg	POINT(14.2002130164027 78.0623978674245)
Ny-Alesund	POINT(11.9309827742516 78.9282619533632)
Amderma	POINT(61.6335258953024 69.7715481341499)
Anadyr	POINT(177.509597073721 64.7410951626286)
Dikson	POINT(80.5087267908961 73.5065043086245)
Kandalaksha	POINT(32.4075659355259 67.1365920018979)
Novy Port	POINT(72.900828154372 67.6899889963713)
Onega	POINT(38.0559254693943 63.9210070492655)
Pevek	POINT(170.269646187314 69.7033829143039)
Polyarnyy	POINT(33.3895096446511 69.2070083501359)
Provideniya	POINT(-173.215262123971 64.4308848033884)
Sabetta	POINT(72.0508639477486 71.2842375615293)
Severodvinsk	POINT(39.8128411425483 64.5814444601544)
Varandey	POINT(57.9823429710943 68.7953247807935)
Iqaluit	POINT(-68.51088093494 63.7244493428898)
Vitino	POINT(32.3314668185932 67.0796811942601)
Yamburg	POINT(74.8199221815749 67.902617414099)
Zapadnaya Litsa	POINT(32.3515982868279 69.4324712377353)
Barrow	POINT(-156.658152814624 71.3280765620374)
Kivalina	POINT(-164.545227227127 67.7249451797186)
Kotzebue	POINT(-162.582575854314 66.9025251544239)
Nome	POINT(-165.428130579564 64.4994518231527)
Red Dog Mine	POINT(-164.062854161012 67.5757229201127)
Kugluktuk/Coppemine	POINT(-115.134571642999 67.8252951069057)
Resolute	POINT(-94.8424694618291 74.6846023646091)
Tuktoyaktuk	POINT(-132.983883405146 69.4363016768604)
Cambridge Bay	POINT(-105.060505937939 69.1135009416248)
Ilulissat	POINT(-51.094252904961 69.2222947723786)
Salekhard	POINT(66.5814190717138 66.539661046723)
Svea	POINT(16.674773934474 77.8594838335709)
Arkhangelsk	POINT(40.5368512851912 64.5210298572349)
Arkhangelsk	POINT(40.5408762522999 64.5281670568549)
Arkhangelsk	POINT(40.6096695888269 64.4781172247506)
Arkhangelsk	POINT(40.5188878788011 64.7044799108157)
Arkhangelsk	POINT(40.5095461881716 64.5663474836442)
Arkhangelsk	POINT(40.5001001366816 64.5832267123611)
Arkhangelsk	POINT(40.5029286914369 64.5937643766006)
Arkhangelsk	POINT(40.5202682800838 64.6362756290621)
Arkhangelsk	POINT(40.518769450511 64.662041904785)
Arkhangelsk	POINT(40.5885406269856 64.5103303420657)
Arkhangelsk	POINT(40.685409749512 64.4942840895913)
Arkhangelsk	POINT(40.6599448754867 64.4591729190416)
Belomorsk	POINT(34.8009441242713 64.5213374057515)
Dudinka	POINT(86.1781960399914 69.3958190193806)
Talagi	POINT(40.6536688817397 64.6439591770958)
Murmansk old	POINT(33.0879702037388 69.0140563437945)
Murmansk	POINT(33.0589999165378 68.9811910681461)
Murmansk	POINT(33.0392407346908 68.9525333634884)
Longyearbyen	POINT(15.5918340716409 78.2318610975721)
Runavik	POINT(-6.7274562927062 62.116654221263)
Helsinki	POINT(24.9579412014862 60.1623710355003)
Helsinki	POINT(24.9164179212365 60.1557114935385)
Helsinki	POINT(26.2557581839088 60.4132860612047)
Helsinki	POINT(24.9639582640219 60.1648004231856)
KotkaHamina_Mussalo	POINT(26.9134789396302 60.4291886077497)
Kilpilahti	POINT(25.5476715900017 60.3014806398913)
Kokkola	POINT(23.0263079327104 63.8550278443843)
Helsinki	POINT(24.3767105118892 60.0835201986279)
Torshavn	POINT(-6.76066994505225 61.9982136812132)
Vagur	POINT(-6.77376996262271 61.4668091531217)
KotkaHamina	POINT(26.9491179449878 60.4796958372619)
Helsinki	POINT(25.193585164822 60.215513492508)
KotkaHamina	POINT(27.1664516221728 60.5256641552728)
Raahe	POINT(24.4059180605076 64.6587412607434)
Rauma	POINT(21.4469008975651 61.1295418892956)
Klaksvík	POINT(-6.58161980382396 62.2361018283395)
Naantali	POINT(22.0449111524503 60.4533135685181)
Husavik	POINT(-17.3519379976119 66.0449611259697)
Thorlakshofn	POINT(-21.3696947857045 63.8602172858876)
Reydarfjordur	POINT(-14.2213447665056 65.0306596615711)
Tvoroyri	POINT(-6.79081982516452 61.5437276390944)
