Date,Close,Difference,Return,Logarithmic Return
1/7/2022 16:00:00,4677.03,,,
1/14/2022 16:00:00,4662.85,-14.18,-0.003032,-0.003036
1/21/2022 16:00:00,4397.94,-264.91,-0.056813,-0.058491
1/28/2022 16:00:00,4431.85,33.91,0.007710,0.007681
2/4/2022 16:00:00,4500.53,68.68,0.015497,0.015378
2/11/2022 16:00:00,4418.64,-81.89,-0.018196,-0.018363
2/18/2022 16:00:00,4348.87,-69.77,-0.015790,-0.015916
2/25/2022 16:00:00,4384.65,35.78,0.008227,0.008194
3/4/2022 16:00:00,4328.87,-55.78,-0.012722,-0.012803
3/11/2022 16:00:00,4204.31,-124.56,-0.028774,-0.029196
3/18/2022 16:00:00,4463.12,258.81,0.061558,0.059738
3/25/2022 16:00:00,4543.06,79.94,0.017911,0.017753
4/1/2022 16:00:00,4545.86,2.80,0.000616,0.000616
4/8/2022 16:00:00,4488.28,-57.58,-0.012666,-0.012747
4/14/2022 16:00:00,4392.59,-95.69,-0.021320,-0.021551
4/22/2022 16:00:00,4271.78,-120.81,-0.027503,-0.027888
4/29/2022 16:00:00,4131.93,-139.85,-0.032738,-0.033286
5/6/2022 16:00:00,4123.34,-8.59,-0.002079,-0.002081
5/13/2022 16:00:00,4023.89,-99.45,-0.024119,-0.024414
5/20/2022 16:00:00,3901.36,-122.53,-0.030451,-0.030924
5/27/2022 16:00:00,4158.24,256.88,0.065844,0.063767
6/3/2022 16:00:00,4108.54,-49.70,-0.011952,-0.012024
6/10/2022 16:00:00,3900.86,-207.68,-0.050548,-0.051871
6/17/2022 16:00:00,3674.84,-226.02,-0.057941,-0.059687
6/24/2022 16:00:00,3911.74,236.90,0.064465,0.062473
7/1/2022 16:00:00,3825.33,-86.41,-0.022090,-0.022338
7/8/2022 16:00:00,3899.38,74.05,0.019358,0.019173
7/15/2022 16:00:00,3863.16,-36.22,-0.009289,-0.009332
7/22/2022 16:00:00,3961.63,98.47,0.025489,0.025170
7/29/2022 16:00:00,4130.29,168.66,0.042573,0.041692
8/5/2022 16:00:00,4145.19,14.90,0.003607,0.003601
8/12/2022 16:00:00,4280.15,134.96,0.032558,0.032039
8/19/2022 16:00:00,4228.48,-51.67,-0.012072,-0.012145
8/26/2022 16:00:00,4057.66,-170.82,-0.040397,-0.041236
9/2/2022 16:00:00,3924.26,-133.40,-0.032876,-0.033429
9/9/2022 16:00:00,4067.36,143.10,0.036465,0.035816
9/16/2022 16:00:00,3873.33,-194.03,-0.047704,-0.048880
9/23/2022 16:00:00,3693.23,-180.10,-0.046497,-0.047613
9/30/2022 16:00:00,3585.62,-107.61,-0.029137,-0.029570
10/7/2022 16:00:00,3639.66,54.04,0.015071,0.014959
10/14/2022 16:00:00,3583.07,-56.59,-0.015548,-0.015670
10/21/2022 16:00:00,3752.75,169.68,0.047356,0.046269
10/28/2022 16:00:00,3901.06,148.31,0.039520,0.038759
11/4/2022 16:00:00,3770.55,-130.51,-0.033455,-0.034027
11/11/2022 16:00:00,3992.93,222.38,0.058978,0.057304
11/18/2022 16:00:00,3965.34,-27.59,-0.006910,-0.006934
11/25/2022 13:00:00,4026.12,60.78,0.015328,0.015212
12/2/2022 16:00:00,4071.70,45.58,0.011321,0.011257
12/9/2022 16:00:00,3934.38,-137.32,-0.033725,-0.034307
12/16/2022 16:00:00,3852.36,-82.02,-0.020847,-0.021067
12/23/2022 16:00:00,3844.82,-7.54,-0.001957,-0.001959
12/30/2022 16:00:00,3839.50,-5.32,-0.001384,-0.001385
