Date,TSE:H,Difference,Return,Date,S&P 500,Difference,Return
1/7/2022 16:00:00,31.9900,,,1/7/2022 16:00:00,4677.0300,,
1/14/2022 16:00:00,31.6700,-0.3200,-0.0100,1/14/2022 16:00:00,4662.8500,-14.1800,-0.0030
1/21/2022 16:00:00,31.8700,0.2000,0.0063,1/21/2022 16:00:00,4397.9400,-264.9100,-0.0568
1/28/2022 16:00:00,32.4800,0.6100,0.0191,1/28/2022 16:00:00,4431.8500,33.9100,0.0077
2/4/2022 16:00:00,32.6800,0.2000,0.0062,2/4/2022 16:00:00,4500.5300,68.6800,0.0155
2/11/2022 16:00:00,32.2900,-0.3900,-0.0119,2/11/2022 16:00:00,4418.6400,-81.8900,-0.0182
2/18/2022 16:00:00,31.2700,-1.0200,-0.0316,2/18/2022 16:00:00,4348.8700,-69.7700,-0.0158
2/25/2022 16:00:00,31.2400,-0.0300,-0.0010,2/25/2022 16:00:00,4384.6500,35.7800,0.0082
3/4/2022 16:00:00,32.6300,1.3900,0.0445,3/4/2022 16:00:00,4328.8700,-55.7800,-0.0127
3/11/2022 16:00:00,32.7900,0.1600,0.0049,3/11/2022 16:00:00,4204.3100,-124.5600,-0.0288
3/18/2022 16:00:00,32.5400,-0.2500,-0.0076,3/18/2022 16:00:00,4463.1200,258.8100,0.0616
3/25/2022 16:00:00,32.6800,0.1400,0.0043,3/25/2022 16:00:00,4543.0600,79.9400,0.0179
4/1/2022 16:00:00,34.2000,1.5200,0.0465,4/1/2022 16:00:00,4545.8600,2.8000,0.0006
4/8/2022 16:00:00,35.4300,1.2300,0.0360,4/8/2022 16:00:00,4488.2800,-57.5800,-0.0127
4/14/2022 16:00:00,34.7100,-0.7200,-0.0203,4/14/2022 16:00:00,4392.5900,-95.6900,-0.0213
4/22/2022 16:00:00,35.6800,0.9700,0.0279,4/22/2022 16:00:00,4271.7800,-120.8100,-0.0275
4/29/2022 16:00:00,34.7300,-0.9500,-0.0266,4/29/2022 16:00:00,4131.9300,-139.8500,-0.0327
5/6/2022 16:00:00,34.9000,0.1700,0.0049,5/6/2022 16:00:00,4123.3400,-8.5900,-0.0021
5/13/2022 16:00:00,35.4900,0.5900,0.0169,5/13/2022 16:00:00,4023.8900,-99.4500,-0.0241
5/20/2022 16:00:00,35.4600,-0.0300,-0.0008,5/20/2022 16:00:00,3901.3600,-122.5300,-0.0305
5/27/2022 16:00:00,35.3200,-0.1400,-0.0039,5/27/2022 16:00:00,4158.2400,256.8800,0.0658
6/3/2022 16:00:00,35.4000,0.0800,0.0023,6/3/2022 16:00:00,4108.5400,-49.7000,-0.0120
6/10/2022 16:00:00,34.5100,-0.8900,-0.0251,6/10/2022 16:00:00,3900.8600,-207.6800,-0.0505
6/17/2022 16:00:00,32.6400,-1.8700,-0.0542,6/17/2022 16:00:00,3674.8400,-226.0200,-0.0579
6/24/2022 16:00:00,33.8700,1.2300,0.0377,6/24/2022 16:00:00,3911.7400,236.9000,0.0645
6/30/2022 16:00:00,34.6100,0.7400,0.0218,7/1/2022 16:00:00,3825.3300,-86.4100,-0.0221
7/8/2022 16:00:00,34.0500,-0.5600,-0.0162,7/8/2022 16:00:00,3899.3800,74.0500,0.0194
7/15/2022 16:00:00,35.0700,1.0200,0.0300,7/15/2022 16:00:00,3863.1600,-36.2200,-0.0093
7/22/2022 16:00:00,34.8600,-0.2100,-0.0060,7/22/2022 16:00:00,3961.6300,98.4700,0.0255
7/29/2022 16:00:00,35.7500,0.8900,0.0255,7/29/2022 16:00:00,4130.2900,168.6600,0.0426
8/5/2022 16:00:00,35.6200,-0.1300,-0.0036,8/5/2022 16:00:00,4145.1900,14.9000,0.0036
8/12/2022 16:00:00,35.2900,-0.3300,-0.0093,8/12/2022 16:00:00,4280.1500,134.9600,0.0326
8/19/2022 16:00:00,36.0500,0.7600,0.0215,8/19/2022 16:00:00,4228.4800,-51.6700,-0.0121
8/26/2022 16:00:00,35.3600,-0.6900,-0.0191,8/26/2022 16:00:00,4057.6600,-170.8200,-0.0404
9/2/2022 16:00:00,35.4000,0.0400,0.0011,9/2/2022 16:00:00,3924.2600,-133.4000,-0.0329
