"Field Name","Description of Contents"
"OID [OID]","A common identifier is given for all entries in the WPI."
"WPI Number [wpinumber]","Each port and place contained in this dataset is given a unique number by the publisher. WPI numbers remain consistent between updates and are also referenced in NGA Sailing Directions."
"Region Name [regionname]","Region Names, as given in the 2019 edition of the World Port Index, are included."
"Main Port Name [main_port_]","Main Port Name, with no diacritical marks. In general, port names listed are approved by the U.S. Board on Geographic Names."
"Alternate Port Name [alternate_]","Alternate, conventional, or familiar names may be included here."
"UN/LOCODE [unlocode]","Given in accordance with the United Nations Code for Trade and Transport Locations."
"Country Code [countryCode]","Country name according to U.S. Government's Geopolitical Entities, Names, and Codes (GENC) standard."
"World Water Body [dodwaterbo]","The relevant body of water, as defined by the United States Department of Defense."
"IHO S-130 Sea Area [s_130water]","The number/name of the appropriate water area in the S-130 format is given."
"Sailing Direction or Publication [publicatio]","The publication number and title of the NGA Sailing Directions, describing the port or area in which the port is located, are normally given. For ports in other areas, other publications are given, including United States Coast Pilot (all volumes) and United Kingdom Hydrographic Office Black Sea and Sea of Azov Pilot."
"Publication Link [publicat_1]","A link to the online publication is provided."
"Standard Nautical Chart [chart]","The number of the best-scale chart issued by NGA is listed with no prefix."
"S-57 Electronic Navigational Chart [s_57_enc]","The number/name of the appropriate electronic navigational chart in the S-57 format is given."
"S-101 Electronic Navigational Chart [s_101_enc]","The number/name of the appropriate electronic navigational chart in the S-101 format is given."
"Digital Nautical Chart [dnc]","NGA Digital Nautical Chart library numbers are given."
"Tidal Range (m) [tidal_rang]","The mean range in meters is given for all ports. The mean rise is substituted if range data is not available. The distinction between range and rise can be disregarded without affecting the general utility of this Index."
"Entrance Width (m) [entrance_w]","The maximum width of the entrance is given, where restrictions exist."
"Channel Depth (m) [channel_de]","The controlling depth of the principal or deepest channel at chart datum is given. The channel selected should lead up to the anchorage if within the harbor, or to the wharf/pier. If the channel depth decreases from the anchorage to the wharf/pier and cargo can be worked at the anchorage, then the depth leading to the anchorage is given."
"Anchorage Depth (m) [anchorage_]","The depth in the anchorage is the least depth in the best or principal anchorage. The depth listed reflects a general depth in the anchorage rather than an isolated shoal spot. A shoal which does not necessarily obstruct the anchorage is not considered for the least depth if the rest of the anchorage is safe and practicable."
"OID [OID]","A common identifier is given for all entries in the WPI."
"WPI Number [wpinumber]","Each port and place contained in this dataset is given a unique number by the publisher. WPI numbers remain consistent between updates and are also referenced in NGA Sailing Directions."
"Region Name [regionname]","Region Names, as given in the 2019 edition of the World Port Index, are included."
"Main Port Name [main_port_]","Main Port Name, with no diacritical marks. In general, port names listed are approved by the U.S. Board on Geographic Names."
"Alternate Port Name [alternate_]","Alternate, conventional, or familiar names may be included here."
"UN/LOCODE [unlocode]","Given in accordance with the United Nations Code for Trade and Transport Locations."
"Country Code [countryCode]","Country name according to U.S. Government's Geopolitical Entities, Names, and Codes (GENC) standard."
"World Water Body [dodwaterbo]","The relevant body of water, as defined by the United States Department of Defense."
"IHO S-130 Sea Area [s_130water]","The number/name of the appropriate water area in the S-130 format is given."
"Sailing Direction or Publication [publicatio]","The publication number and title of the NGA Sailing Directions, describing the port or area in which the port is located, are normally given. For ports in other areas, other publications are given, including United States Coast Pilot (all volumes) and United Kingdom Hydrographic Office Black Sea and Sea of Azov Pilot."
"Publication Link [publicat_1]","A link to the online publication is provided."
"Standard Nautical Chart [chart]","The number of the best-scale chart issued by NGA is listed with no prefix."
"S-57 Electronic Navigational Chart [s_57_enc]","The number/name of the appropriate electronic navigational chart in the S-57 format is given."
"S-101 Electronic Navigational Chart [s_101_enc]","The number/name of the appropriate electronic navigational chart in the S-101 format is given."
"Digital Nautical Chart [dnc]","NGA Digital Nautical Chart library numbers are given."
"Tidal Range (m) [tidal_rang]","The mean range in meters is given for all ports. The mean rise is substituted if range data is not available. The distinction between range and rise can be disregarded without affecting the general utility of this Index."
"Entrance Width (m) [entrance_w]","The maximum width of the entrance is given, where restrictions exist."
"Channel Depth (m) [channel_de]","The controlling depth of the principal or deepest channel at chart datum is given. The channel selected should lead up to the anchorage if within the harbor, or to the wharf/pier. If the channel depth decreases from the anchorage to the wharf/pier and cargo can be worked at the anchorage, then the depth leading to the anchorage is given."
"Anchorage Depth (m) [anchorage_]","The depth in the anchorage is the least depth in the best or principal anchorage. The depth listed reflects a general depth in the anchorage rather than an isolated shoal spot. A shoal which does not necessarily obstruct the anchorage is not considered for the least depth if the rest of the anchorage is safe and practicable."
"Cargo Pier Depth (m) [cargo_pier]","The greatest depth at chart datum alongside the respective wharf/pier is given. If there is more than one wharf/pier, the one which has the greatest usable depth is shown. For example, if there are three cargo/container piers with depths of 7.0 meters, 10.1 meters, and 13.1 meters, then the deepest depth of 13.1 meters would be entered into the Index."
"Oil Terminal Depth (m) [oil_termin]","The greatest depth at chart datum will be shown. Note: an oil terminal is a facility designed to conduct the loading and/or offloading of crude oil or refined petroleum products. The terminal can be associated with a port or can be a standalone facility. Generally, the terminal is offshore and is connected to the shore facilities by a pipeline. The offshore part may be an extended pier, SBM, buoy field, platform, or storage tanker. Many ports have piers and/or wharves with facilities for refueling vessels. The oil terminal is distinguished by being specifically for oil transfer operations and nothing else (repairs alongside and cargo operations not permitted)."
"Liquified Natural Gas Terminal Depth (m) [lng_termin]","The greatest depth at chart datum will be shown. Note: LNG terminals are normally located away from other port operations and operate under an expanded set of safety regulations."
"Maximum Vessel Length (m) [maxvessell]","The maximum length that can be accommodated in the port is given."
"Maximum Vessel Beam (m) [maxvesselb]","The maximum beam that can be accommodated in the port is given."
"Maximum Vessel Draft (m) [maxvesseld]","The maximum draft that can be accommodated in the port is given."
"Offshore Maximum Vessel Length (m) [offhorema]","The maximum length that can be accommodated offshore is given."
"Offshore Maximum Vessel Beam (m) [offshore_1]","The maximum beam that can be accommodated offshore is given."
"Offshore Maximum Vessel Draft (m) [offshore_2]","The maximum draft that can be accommodated offshore is given."
"Harbor Size [harbor_siz]","The classification of harbor size -- Large, Medium, Small, or Very Small -- is based on several applicable factors, including area, facilities, and wharf space. It is not based on area alone or on any other single factor."
"Harbor Type** [harbor_typ]","The term ""harbor"" is used for the principal water area of the port. Harbors are classified as: Coastal (Natural), Coastal (Breakwater), Coastal (Tide Gates), River (Natural), River (Basin), River (Tide Gates), Canal or Lake, or Open Roadstead."
"Harbor Use [harbor_use]","Harbor use is classified as Fishing, Military, Cargo, Ferry, or Unknown."
"Shelter Afforded [shelter_af]","The shelter afforded from wind, sea, and swell refers to the area where normal port operations are conducted, usually the wharf area. Shelter afforded by the anchorage area may be given for ports where cargo is handled by lighters. Values given are Excellent, Good, Fair, Poor, or None."
"Entrance Restriction - Tide [ent_restri]","Natural factor restricting the entrance of vessels -- Tide. Values are Yes, No, or Unknown."
"Entrance Restriction - Heavy Swell [ent_rest_1]","Natural factor restricting the entrance of vessels -- Heavy Swell. Values are Yes, No, or Unknown."
"Entrance Restriction - Ice [ent_rest_2]","Natural factor restricting the entrance of vessels -- Ice. Values are Yes, No, or Unknown."
"Entrance Restriction - Other [ent_rest_3]","Natural factor restricting the entrance of vessels -- Other. Values are Yes, No, or Unknown."
"Overhead Limits [overhead_l]","This entry is shown only to indicate that bridge and overhead power cables exist. It is advisable to refer to the chart for particulars. Values are Yes, No, or Unknown."
"Underkeel Clearance Management System [ukc_mgmt_s]","Indicates whether an Underkeel Clearance Management System is in place in the port or its approaches. Values are Static, Dynamic, None, or Unknown."
"Good Holding Ground [good_holdi]","This is indicated only where actual anchorage conditions have been reported. Values are Yes, No, or Unknown."
"Turning Area [turning_ar]","An indication that a turning basin or other water area for turning vessels is available in the port. Values are Yes, No, or Unknown."
"Port Security [port_secur]","Indicates whether International Ship and Port Facility Security (ISPS) safety regulations will apply in the port. Values are Yes, No, or Unknown."
"Estimated Time of Arrival Message [eta_messag]","Indicates whether an ETA message is required for that port. Values are Yes, No, or Unknown."
"Quarantine – Pratique [quarantine]","Indicates whether pratique will apply to vessels arriving in the port. Values are Yes, No, or Unknown."
"Quarantine – Sanitation [quaranti_1]","Indicates whether sanitation will apply to vessels arriving in the port. Values are Yes, No, or Unknown."
"Quarantine – Other [quaranti_2]","Indicates whether other restrictions will apply to vessels arriving in the port. Values are Yes, No, or Unknown."
"Traffic Separation Scheme [tss]","Indicates if a Traffic Separation Scheme is established in the approach to the port."
"Vessel Traffic Service [vts]","Indicates that a Vessel Traffic Service is established in the approach to the port. Values are Yes, No, or Unknown."
"First Port of Entry [first_port]","A port where a vessel may enter and clear foreign goods and personnel through Customs and Immigration. For vessels arriving from overseas, a quarantine clearance is required by the First Port of Entry. Values are Yes, No, or Unknown."
"US Representative [us_represe]","Indicates whether the United States maintains civilian/military representation in that port. Values are Yes, No, or Unknown."
